Season,Age,Squad,Country,Comp,90s,LgRank,MP,Starts,Min,Gls,xG,npxG,xAG,Gls/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
2019-2020,26,Tottenham,eng ENG,1. Premier League,28.7,6th,29,29,2587,18,12.5,10.9,3.3,0.6271777003484321,79,35,44.3,2.75,1.22,0.20,0.46,19.2,7,2,2
2020-2021,27,Tottenham,eng ENG,1. Premier League,34.2,7th,35,35,3082,23,20.1,16.9,7.1,0.6725146198830408,133,47,35.3,3.88,1.37,0.14,0.40,18.3,14,4,4
2021-2022,28,Tottenham,eng ENG,1. Premier League,35.9,4th,37,36,3232,17,18.6,15.4,9.1,0.4735376044568245,129,49,38.0,3.59,1.36,0.10,0.27,17.3,8,4,4
2022-2023,29,Tottenham,eng ENG,1. Premier League,37.8,8th,38,38,3405,30,21.4,16.7,7.0,0.7936507936507937,124,54,43.5,3.28,1.43,0.20,0.46,16.0,4,5,6
2023-2024,30,Bayern Munich,de GER,1. Bundesliga,31.5,3rd,32,32,2839,36,30.6,26.7,6.4,1.1428571428571428,141,61,43.3,4.47,1.93,0.22,0.51,14.4,4,5,5
