Season,Age,Squad,Country,Comp,90s,LgRank,MP,Starts,Min,Gls,xG,npxG,xAG,Gls/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
2019-2020,19,Fiorentina,it ITA,1. Serie A,16.7,10th,30,13,1499,6,7.0,6.2,0.9,0.3592814371257485,64,17,26.6,3.84,1.02,0.08,0.29,15.8,6,1,1
2020-2021,20,Fiorentina,it ITA,1. Serie A,32.5,13th,37,34,2923,21,18.5,13.8,2.2,0.6461538461538462,80,33,41.3,2.46,1.02,0.19,0.45,14.9,1,6,6
2021-2022,21,Fiorentina,it ITA,1. Serie A,20.6,7th,21,21,1857,17,12.9,8.2,1.8,0.8252427184466019,69,27,39.1,3.34,1.31,0.17,0.44,17.2,5,5,6
2021-2022,21,Juventus,it ITA,1. Serie A,12.0,4th,15,12,1076,7,5.2,5.2,1.1,0.5833333333333334,44,19,43.2,3.68,1.59,0.16,0.37,14.3,1,0,0
2022-2023,22,Juventus,it ITA,1. Serie A,21.4,7th,27,22,1925,10,9.7,7.3,2.4,0.4672897196261683,65,20,30.8,3.04,0.94,0.12,0.40,15.5,4,2,3
2023-2024,23,Juventus,it ITA,1. Serie A,25.4,4th,32,27,2289,16,16.6,13.3,2.3,0.6299212598425197,106,35,33.0,4.17,1.38,0.13,0.40,15.8,7,2,4
