Season,Age,Squad,Country,Comp,90s,LgRank,MP,Starts,Min,Gls,xG,npxG,xAG,Gls/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
2019-2020,29,Alavés,es ESP,1. La Liga,30.9,16th,36,31,2782,11,11.7,11.0,2.0,0.3559870550161812,86,29,33.7,2.78,0.94,0.12,0.34,13.9,2,1,1
2020-2021,30,Alavés,es ESP,1. La Liga,33.6,16th,37,34,3026,11,12.8,9.6,3.8,0.3273809523809524,89,28,31.5,2.65,0.83,0.10,0.32,16.3,4,2,4
2021-2022,31,Alavés,es ESP,1. La Liga,34.7,20th,37,35,3122,14,12.9,7.4,4.5,0.4034582132564841,90,33,36.7,2.59,0.95,0.09,0.24,18.6,5,6,7
2022-2023,32,Espanyol,es ESP,1. La Liga,33.2,19th,34,33,2990,16,14.5,10.5,2.4,0.48192771084337344,87,33,37.9,2.62,0.99,0.13,0.33,16.1,2,5,5
2023-2024,33,Real Madrid,es ESP,1. La Liga,18.7,1st,34,15,1687,10,11.6,10.0,1.7,0.5347593582887701,61,28,45.9,3.25,1.49,0.16,0.36,12.8,0,0,2
