Season,Age,Squad,Country,Comp,90s,LgRank,MP,Starts,Min,Gls,xG,npxG,xAG,Gls/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
2019-2020,20,Lille,fr FRA,1. Ligue 1,25.4,4th,27,25,2287,13,15.5,13.2,2.9,0.5118110236220472,83,32,38.6,3.27,1.26,0.13,0.34,14.2,0,2,3
2020-2021,21,Napoli,it ITA,1. Serie A,17.5,5th,24,16,1573,10,10.6,10.6,2.5,0.5714285714285714,66,24,36.4,3.78,1.37,0.15,0.42,13.8,0,0,0
2021-2022,22,Napoli,it ITA,1. Serie A,22.0,3rd,27,23,1983,14,10.5,10.5,1.8,0.6363636363636364,91,29,31.9,4.13,1.32,0.15,0.48,14.2,0,0,0
2022-2023,23,Napoli,it ITA,1. Serie A,28.5,1st,32,30,2566,26,21.3,18.9,2.8,0.9122807017543859,132,52,39.4,4.63,1.82,0.18,0.46,12.8,1,2,3
2023-2024,24,Napoli,it ITA,1. Serie A,21.7,10th,24,22,1956,15,15.3,11.4,3.1,0.6912442396313364,83,35,42.2,3.82,1.61,0.14,0.34,13.4,0,3,5
